PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,PB19,PB32,PB33
2,1,3,3,3,0,1,1,2,3,3,1,1,2,1,1,1,4,3,0,1
3,1,2,1,4,2,2,1,3,3,3,1,2,2,2,1,2,1,2,0,0
2,1,2,1,3,1,0,2,1,3,3,2,0,3,2,1,2,4,0,0,0
1,3,2,1,2,2,3,3,0,1,2,1,0,3,2,3,1,4,2,1,1
2,3,4,3,2,1,0,2,3,1,2,1,1,3,2,2,3,3,4,2,1
2,1,2,3,3,1,1,1,2,3,2,1,1,2,3,2,1,2,2,3,2
2,1,0,3,2,2,0,1,3,0,2,0,1,2,3,0,1,0,0,1,1
