ID utente,genere,fascia d'età,occupazione,familiarità
EU1 (Luigi),M,<25,Studente,alta
EU2 (Andrea),M,<25,Studente,alta
EU3 (Sara),F,<25,Studente,alta
EU4 (Ethan),M,<25,Studente,media
ED1 (Gabri),M,<25,Studente,alta
ED2 (Vincenzo),M,<25,Studente,media
ED3 (Alice),F,<25,Studente,media
