PB1,PB9,PB15,PB18,PB20,PB21,PB22,PB23,PB24,PB25,PB26,PB27,PB28,PB29,PB30,PB31,PB32
1,2,1,3,2,3,1,3,2,1,4,3,1,0,2,2,0
3,3,2,1,3,3,2,3,2,2,3,2,3,2,3,0,0
2,0,2,3,4,3,2,1,3,2,4,3,1,1,0,0,0
1,0,0,3,2,3,2,3,4,1,4,0,2,2,1,0,0
0,1,2,3,3,2,0,1,3,0,3,2,2,3,3,3,0
2,0,3,2,3,2,0,1,1,3,1,1,1,3,3,2,1
2,3,1,3,3,1,2,2,3,0,3,0,1,2,2,3,3
